,기사제목,기사링크,기사요약,분류
0,"文 “단 한 건도 금품 부정비리 없었던 청와대, 고마워”",https://n.news.naver.com/mnews/article/005/0001627341?sid=100,문재인 전 대통령이 재임시절을 돌아보며 “단 한 건도 금품과 관련된 부정비리가 없었던 당시 청와대 사람들에게 고마운 마음을 전하고 싶다”고 밝혔다. 문  …,정치
1,美 별장서 모이는 한미일…북중러 밀착에 협력 수위 높이나,https://n.news.naver.com/mnews/article/015/0004874062?sid=100,"윤석열 대통령과 조 바이든 미국 대통령, 기시다 후미오 일본 총리가 다음달 18일 미국 워싱턴DC 인근 대통령 별장인 캠프 데이비드에서 정상회의를 한다. …",정치
2,"‘개봉영화‘ 공짜로 보는 이곳, 없어질까…당정, 누누티비 등 불법 스트리밍 방지대책 논의",https://n.news.naver.com/mnews/article/021/0002585616?sid=100,"당정, K-콘텐츠 불법유통 ‘누누티비’ 방지대책 논의 해외 공조 등 불법 유통 차단 대책 마련 정부·여당이 ‘K-콘텐츠’ 불법 유통을 막기 위해 범정부적 …",정치
3,"민주당 ""쌍방울-친윤 법조 카르텔"" 비난…수사 검사 4명 실명 공개",https://n.news.naver.com/mnews/article/055/0001077477?sid=100,민주당은 오늘(30일) 김성태 전 쌍방울 회장 관련 '봐주기 기소' 의혹을 제기하며 사건을 수사 중인 검사들의 실명을 공개했습니다. 또 쌍방울그룹 전·현 …,정치
4,尹지지율 0.7%p 오른 37.3%...국힘 36.3% 민주 44.3%[리얼미터],https://n.news.naver.com/mnews/article/009/0005165893?sid=100,윤석열 대통령의 국정 수행에 대한 긍정 평가가 하락세를 멈추며 4주 만에 반등했다는 여론조사 결과가 31일 나왔다. 리얼미터가 미디어트리뷴 의뢰로 지난  …,정치
5,"휴지기 들어간 국회...여야, 이동관 공방은 계속",https://n.news.naver.com/mnews/article/052/0001916614?sid=100,"■ 진행 : 안보라 앵커, 박석원 앵커 ■ 출연 : 최창렬 용인대 특임교수, 장성호 건국대 국가정보학과 교수 * 아래 텍스트는 실제 방송 내용과 차이가  …",정치
6,"민주 ""쌍방울-친윤 카르텔"" vs 국힘 ""소도 웃을 물타기""",https://n.news.naver.com/mnews/article/003/0012004316?sid=100,"여야가 30일 대북송금 의혹을 받고 있는 쌍방울 그룹의 전·현직 사외이사가 친윤석열 인사로 구성된 점을 놓고 공방을 벌였다. 더불어민주당이 ""쌍방울-친윤 …",정치
7,"김두관 ""이재명 대신 당대표? 사실무근…'당의 부름' 있어야""",https://n.news.naver.com/mnews/article/018/0005540911?sid=100,김두관 더불어민주당 의원이 최근 항간에서 떠도는 ‘10월 이재명 당대표 사퇴론’과 함께 불거지는 ‘김두관 등판설’에 대해 “전혀 사실무근이자 금시초문”이 …,정치
8,"[단독] ""이력서 받아"" vs ""기억 없어""...이동관 해명 오락가락",https://n.news.naver.com/mnews/article/052/0001916572?sid=100,"이동관 방송통신위원장 후보자의 부인에게 지난 2010년 무렵 이력서와 2천만 원이 든 쇼핑백이 차례로 건네졌다는 '인사청탁' 의혹, 지난주 YTN이 전해 …",정치
9, 폭염대비 긴급 점검회의...여야 수해 입법 논의[미리보는오늘],https://n.news.naver.com/mnews/article/052/0001916812?sid=100,"7월 31일 월요일, 미리보는 오늘입니다. 폭염으로 온열 질환자가 급증하는 가운데 정부가 긴급 점검 회의를 개최합니다. 행정안전부는 오늘(31일) 관계부 …",정치
