,제목,작가,별점,조회수
0,뱀파이어의 연금술,달 심청,9.72,54만
1,살인대학,살모사,7.62,"2,745"
2,다람쥐 란란,하리,9.84,148만
3,고고고,뀰,9.88,188만
4,바람따라 물따라,fafa****,9.74,53만
5,유령클럽,조나단 정,9.26,"2,965"
6,별을 향해,직냥이,8.52,9.4만
7,육아의 계절,십짱생,9.61,48만
8,아빠는 N살,유영근,9.90,"4,894만"
9,이상과 현실,악역,9.89,141만
10,아타나시아,Tana,9.74,71만
11,로잘린 5번가 사건의뢰소,로빈,9.28,1.4만
12,곰팡남녀,시미씨,9.90,748만
13,널 구하는 카르타노의 공식,차치,8.77,"6,699"
14,영구결번,농맨,9.65,6.1만
15,행복 공방,위리,9.16,"2,957"
16,좀비신드롬,kisk****,9.83,109만
17,군하하하,쫑맨,9.29,3.2만
18,남주만 9명?!,wlss****,9.54,43만
19,낯가리는 관종,시논,9.82,784만
20,재회와 유령의 이야기,이누리,9.43,"8,819"
21,보아즈 - 엔젤하트,천지,9.57,"3,668"
22,꽃거지가 모델을 너무 잘함,모미,9.53,1.7만
23,파운드캣,poun****,9.89,"2,070만"
24,우리집 똥강아지,이만보,8.35,"2,154"
25,자작 보드게임 동아리,서전트황,9.78,751만
26,더 히트맨,WOLFY,9.16,12만
27,두 번째 별의 아침,시기,9.70,"5,703"
28,도깨비신선,이갱,8.79,"6,179"
29,외국 in 한국,wae_****,9.85,"1,068만"
