,약국명,주소,전화번호
0,365강남역약국,"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",02-554-5628
1,강남구청역약국,"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)",02-511-6252
2,강남보선약국,서울특별시 강남구 도곡로 516  (대치동),02-568-2310
3,강남새천년온누리약국,"서울특별시 강남구 도곡로 523, 1층 (대치동)",02-552-3524
4,강남세계로약국,"서울특별시 강남구 논현로 52, 남현빌딩 1층 (개포동)",02-572-2720
5,강남썬약국,"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 1층 118호 (역삼동)",02-567-7637
6,강남씨티약국,"서울특별시 강남구 강남대로 416, 1층 (역삼동, 창림빌딩)",02-553-1608
7,강남웰약국,서울특별시 강남구 강남대로 432 1층 (역삼동),02-6440-5656
8,갤러리약국,서울특별시 강남구 학동로20길 55 106호,02-6227-5578
9,금강약국,"서울특별시 강남구 압구정로 151 현대9차상가 (압구정동, 현대아파트)",02-544-5527
10,기쁨약국,서울특별시 강남구 개포로 228,02-574-1087
11,노바약국,서울특별시 강남구 강남대로118길 51 ,02-542-3696
12,논현밝은약국,"서울특별시 강남구 강남대로122길 10, 영흥빌딩 1층 일부호 (논현동)",02-2135-2846
13,논현필리아약국,서울특별시 강남구 선릉로 641,02-540-7582
14,뉴욕약국,서울특별시 강남구 테헤란로 107,070-4147-3039
15,대치약국,"서울특별시 강남구 선릉로86길 42, 102호 (대치동)",02-6954-1778
16,대치필리아약국,서울특별시 강남구 도곡로63길 12  (대치동),02-508-6116
17,더블유약국,"서울특별시 강남구 강남대로 468, 1층 (역삼동, 충림빌딩)",02-557-9135
18,도곡타워약국,"서울특별시 강남구 언주로30길 21, B1층 101-24A호 (도곡동, 아카데미스위트)",02-529-2916
19,동아약국,서울특별시 강남구 강남대로66길 14  (역삼동),02-539-7030
20,동현당약국,"서울특별시 강남구 언주로146길 18  (논현동, 동현아파트)",02-547-8207
21,라온약국,"서울특별시 강남구 강남대로 318, 1층 (역삼동)",02-2193-9100
22,르씨엘약국,"서울특별시 강남구 학동로 215, 101호,107호 (논현동)",02-540-0047
23,메디피아약국,"서울특별시 강남구 강남대로 242, 1층(도곡동, 크리스탈빌딩)",02-3463-1547
24,명심약국,서울특별시 강남구 개포로 207  (개포동),02-575-5867
